time_s,knee_angle_deg
2.180601,24.6083
2.184048,24.3889
2.186218,24.6024
2.189516,24.0121
2.193031,23.8769
2.196201,23.6524
2.199473,23.4962
2.201672,23.2995
2.204693,23.0244
2.207801,22.7593
2.210993,22.4868
2.214310,22.1701
2.216782,21.8684
2.220089,21.5543
2.223239,21.2487
2.225230,21.2502
2.227339,20.9230
2.231481,20.3527
2.233614,20.3783
2.238232,19.8139
2.240368,19.5605
2.242896,19.5497
2.246008,19.2417
2.249502,18.9266
2.252800,18.6111
2.255881,18.2529
2.257941,17.9046
2.261458,17.5264
2.264583,17.1313
2.270051,16.9870
2.282721,14.6836
2.286112,13.3766
2.288301,12.7224
2.291445,12.0904
2.296199,11.5336
2.297478,11.4346
2.300685,10.3140
2.303781,9.9871
2.306864,9.7519
2.311472,9.5651
2.313606,9.3850
2.315730,9.2383
2.319262,9.1047
2.322345,8.9530
2.325841,8.8393
2.327786,8.9314
2.331292,8.6500
2.335497,8.6085
2.338026,8.5942
2.341445,8.6370
2.344509,8.6696
2.345530,8.8666
2.348543,8.9722
2.351652,9.0342
2.355891,9.0070
2.357799,9.1207
2.360867,9.1487
2.364123,9.1362
2.367348,9.0275
2.370690,8.9751
2.373031,8.9856
2.382777,8.7107
2.386012,8.6385
2.387871,8.6273
2.390957,8.4980
2.394149,8.4505
2.396630,8.4250
2.399705,8.4224
2.402198,8.4496
2.405454,8.4206
2.408495,8.4263
2.412606,8.4292
2.414955,8.4272
2.417003,8.4035
2.420088,8.3701
2.424676,8.3104
2.427924,8.2458
2.429951,8.1830
2.433092,8.1193
2.436669,8.0583
2.441087,7.9924
2.442002,7.9287
2.445488,7.8784
2.448754,7.8503
2.450983,7.7831
2.454376,7.7391
2.457455,7.6838
2.460561,7.6449
2.463641,7.5775
2.466752,7.5350
2.470254,7.4714
2.472259,7.4147
2.475678,7.3674
2.485422,7.2096
2.487943,7.1605
2.492066,7.0796
2.494136,7.0373
2.496490,7.0097
2.500008,7.0028
2.502431,7.0306
2.505564,7.0468
2.508495,7.0352
2.511666,7.0289
2.513988,7.0075
2.517502,7.0046
2.520770,6.9889
2.522740,6.9540
2.526830,6.9591
2.528991,6.9355
2.532198,6.9230
2.534196,6.8768
2.538427,6.8881
2.542195,6.8447
2.544246,6.8916
2.547435,6.8459
2.551061,6.8223
2.558432,6.7919
2.559464,6.7192
2.568527,6.7146
2.569559,6.6761
2.572741,6.6390
2.574679,6.5743
2.578792,6.5456
2.584528,6.5070
2.587624,6.4677
2.594378,6.3035
2.596370,6.2488
2.600985,6.1882
2.603272,6.1360
2.605781,6.0933
2.608838,6.0646
2.612164,6.0184
2.615250,5.9866
2.617570,5.9575
2.620827,5.9281
2.624003,5.9124
2.627042,5.9024
2.629089,5.8930
2.633313,5.8840
2.635848,5.8751
2.639376,5.8796
2.643797,5.8805
2.644789,5.9101
2.648042,5.9018
2.651228,5.9247
2.654404,5.9623
2.657034,6.0155
2.660070,6.0807
2.662103,6.1507
2.666593,6.2142
2.668665,6.2700
2.672659,6.3285
2.674935,6.3729
2.679213,6.3950
2.680230,6.4123
2.692701,6.4656
2.694683,6.3736
2.697929,6.3297
2.700959,6.2744
2.705046,6.2159
2.707775,6.1508
2.710793,6.0939
2.712844,6.0275
2.717053,5.9724
2.719070,5.9249
2.722572,5.8937
2.724584,5.8744
2.728870,5.8870
2.731322,5.9187
2.735369,5.9959
2.737364,6.0732
2.740597,6.1869
2.744924,6.3178
2.745905,6.4544
2.748410,6.6243
2.754410,6.9118
2.755438,7.0430
2.758485,7.1698
2.762503,7.5103
2.763828,7.7483
2.767260,7.9796
2.770575,8.1785
2.772590,8.3615
2.777799,8.5045
2.778807,8.6331
2.781849,8.6333
2.795346,9.4065
2.796721,9.6236
2.799742,9.8597
2.803081,10.0689
2.806135,10.3137
2.809833,10.8059
2.813000,10.8526
2.814012,10.9222
2.817032,11.2215
2.820179,11.8481
2.823221,12.1876
2.827326,12.5603
2.829341,12.9720
2.833637,13.3787
2.835670,13.8015
2.837709,13.9637
2.841844,14.4294
2.845903,15.2604
2.847935,15.8063
2.850952,16.3743
2.854074,16.8929
2.857088,17.4523
2.861410,18.0408
2.863427,18.5684
2.865578,19.1091
2.869605,19.6667
2.871778,19.7604
2.874802,20.6929
2.877825,21.2182
2.881849,21.7940
2.883935,22.2943
2.896341,24.1093
2.897309,24.3173
2.898318,24.3981
2.902566,25.4853
2.904577,26.0095
2.908599,26.5400
2.911621,27.1069
2.913645,27.6206
2.917660,28.1283
2.920678,28.6862
2.923732,29.2032
2.925742,29.2444
2.929801,30.2373
2.931782,30.7472
2.934807,31.2568
2.938826,31.7534
2.940838,32.2890
2.944865,32.7792
2.945916,32.7937
2.950087,33.7914
2.952771,34.2425
2.956478,34.7023
2.958591,34.6992
2.962447,35.5976
2.965060,36.1371
2.967714,36.6352
2.971904,37.2043
2.974088,37.8242
2.977785,38.3894
2.983018,39.0567
2.984607,39.6906
2.986178,40.4225
2.996087,41.2359
2.997127,42.5686
2.998196,42.6856
3.000867,44.1285
3.004957,44.8451
3.008003,45.5614
3.011523,46.3473
3.013982,47.0456
3.016411,47.7204
3.019653,48.4581
3.021740,49.1207
3.025835,49.7771
3.028845,50.5108
3.030836,51.1770
3.033887,51.8895
3.037873,52.5940
3.040923,53.4265
3.045962,54.1581
3.046965,54.9046
3.050089,55.8222
3.052793,56.5542
3.055944,57.2921
3.058549,58.1281
3.061783,58.8927
3.065422,59.6219
3.068043,60.3891
3.071248,61.2076
3.073693,61.9138
3.079937,63.2960
3.080958,63.3266
3.082959,64.0048
3.086110,64.7275
3.089200,65.4560
3.098372,66.1285
3.099391,66.1342
3.101436,67.9845
3.103824,68.6335
3.105834,69.2553
3.110986,70.5287
3.113364,70.5140
3.116649,71.7268
3.117701,71.7109
3.121775,72.2635
3.123795,72.8071
3.126819,73.3516
3.130184,73.9453
3.134466,74.4914
3.136533,75.0441
3.138747,75.6519
3.145920,76.7958
3.150300,77.9880
3.152370,77.9935
3.154496,78.5589
3.157595,79.1327
3.160891,79.7893
3.162920,80.3829
3.166189,80.9745
3.169305,81.6224
3.173424,82.2294
3.180810,83.4631
3.182826,84.0450
3.185105,84.6814
3.187116,85.3404
3.191169,85.9076
3.201504,86.4847
3.203535,87.5848
3.204526,88.6709
3.207545,88.6693
3.211636,89.4103
3.213655,90.5174
3.218647,91.1536
3.220752,91.6861
3.222927,92.2853
3.228298,92.8498
3.229310,93.4376
3.232574,94.0404
3.235704,94.6182
3.240940,95.7713
3.245125,96.3400
3.248241,96.9737
3.251307,97.5347
3.253475,98.0560
3.260906,99.1038
3.261899,99.0865
3.263308,99.5234
3.265917,100.0518
3.270867,101.0984
3.271869,101.0615
3.275109,101.5049
3.278449,101.9988
3.280861,102.4089
3.284153,102.8503
3.287307,103.3015
3.291405,103.6717
3.304546,105.7270
3.306666,105.4988
3.311414,106.2999
3.312449,106.2783
3.313585,106.6807
3.316673,107.0663
3.319974,107.4965
3.326382,108.2496
3.328418,108.7517
3.331582,109.1848
3.334735,109.6115
3.337797,110.0925
3.342036,110.5461
3.345648,111.3321
3.346656,111.4810
3.350313,111.8955
3.352428,112.2633
3.355099,112.6089
3.359178,112.9405
3.365211,113.4409
3.368229,113.6905
3.370240,113.8837
3.374265,114.0690
3.376277,114.0841
3.379296,114.4006
3.382352,114.5284
3.384327,114.5397
3.388663,114.7237
3.391682,114.7342
3.396715,114.7949
3.414349,114.5669
3.417566,114.4977
3.421667,114.1690
3.423735,114.0206
3.427854,113.8557
3.429976,113.6985
3.433074,113.5271
3.436080,113.3292
3.438209,113.3540
3.442310,113.1531
3.445457,112.7092
3.447581,112.4023
3.450723,112.4247
3.454084,111.8688
3.456242,111.5745
3.460522,111.3001
3.462554,111.3234
3.467786,110.7197
3.471409,110.4460
3.474641,110.1664
3.477286,109.8346
3.480909,109.5662
3.484061,108.9371
3.486631,108.5583
3.489775,108.1697
3.491887,108.1683
3.495145,107.7290
3.498819,107.2061
3.510492,104.8398
3.512764,104.8069
3.516396,104.2515
3.517289,104.2149
3.520331,103.6104
3.522339,103.0618
3.525749,102.5109
3.529910,101.3659
3.533545,100.7711
3.538777,99.5187
3.541570,98.8938
3.545316,98.2961
3.547315,98.2245
3.549990,97.5331
3.554597,96.3913
3.556629,95.7300
3.559355,95.6544
3.562943,94.5318
3.565430,93.8119
3.568484,93.1204
3.571150,93.0617
3.574397,91.5087
3.581196,90.4925
3.583632,89.6952
3.586325,88.7825
3.589306,87.8547
3.593167,86.7711
3.594993,86.0618
3.597976,85.2953
3.612366,81.2698
3.614462,81.2777
3.618224,81.2719
3.619636,80.4549
3.622509,79.6832
3.624446,78.9194
3.628842,78.1484
3.631152,77.4911
3.634454,76.7302
3.637158,75.9319
3.640104,75.1880
3.643804,73.7684
3.646349,73.6791
3.648493,72.8572
3.652069,72.0464
3.654516,71.2612
3.658535,70.4085
3.670809,67.1129
3.673294,66.2851
3.675018,65.3489
3.678251,64.5454
3.682792,63.6797
3.683986,63.5648
3.688905,61.8872
3.690073,61.7918
3.694239,60.2936
3.696371,60.2034
3.700325,58.7208
3.702573,58.6499
3.715584,53.3914
3.716738,53.3301
3.721793,53.1752
3.722891,53.0752
3.726259,52.2138
3.729185,51.4688
3.732945,50.7127
3.735527,49.8556
3.739525,49.0708
3.742308,48.2960
3.746209,47.4567
3.747425,46.7063
3.751094,45.9316
3.753508,45.1642
3.757268,44.3246
3.762618,42.8953
3.764992,42.0795
3.769100,41.3063
3.771637,40.5588
3.774083,39.7234
3.779552,38.9462
3.781274,38.2407
3.783861,37.3942
3.788356,36.5735
3.789291,35.8599
3.792627,35.1278
3.796484,34.3443
3.798633,33.6664
3.802572,33.0002
3.804987,32.2975
3.807493,31.7149
3.817918,31.1914
3.818999,30.2077
3.819925,29.7854
3.823060,29.2164
3.826774,28.6182
3.829709,28.0155
3.832166,27.3932
3.834733,27.2336
3.836732,25.9009
3.840398,25.6995
3.843045,25.0072
3.846961,23.7197
3.850100,23.0237
3.853855,22.3624
3.855059,21.6895
3.859368,21.0776
3.861775,20.5532
3.864346,20.0301
3.867833,19.6160
3.870446,19.2404
3.874693,18.9136
3.875858,18.9914
3.879020,18.2880
3.885797,18.0899
3.888212,17.3727
3.893066,17.0604
3.898833,16.3733
3.901242,16.0680
3.904031,15.7307
3.906008,15.4294
3.909803,15.1580
3.919647,14.4471
3.925064,14.1386
3.927211,14.0295
3.930708,13.9741
3.933594,13.9353
3.935867,13.8786
3.938618,13.8677
3.941780,13.8909
3.946983,13.8984
3.948208,14.0736
3.950560,14.1489
3.954891,14.0781
3.963155,14.3353
3.965960,14.2709
3.968386,14.2853
3.971343,14.2724
3.974774,14.1818
3.977015,14.1428
3.980907,13.9884
3.983665,13.7918
3.987211,13.4392
3.990174,13.1730
3.993803,13.0152
3.995660,12.7126
3.999290,12.5666
4.002252,12.1040
4.004347,11.8150
4.007940,11.5081
4.010718,11.4245
4.023459,10.7567
4.025931,10.7588
4.029079,10.2661
4.030270,10.1843
4.034395,10.0180
4.040504,9.9698
4.043397,10.0596
4.046459,10.0558
4.049324,10.0590
4.051741,10.0714
4.055289,10.0454
4.059110,10.0766
4.061145,10.1430
4.063793,10.1725
4.067618,10.1953
4.069784,10.1887
4.073546,10.1137
4.076381,10.1066
4.079435,10.0358
4.082013,9.9468
4.085490,9.7548
4.088007,9.6971
4.091813,9.4645
4.094468,9.3911
4.096387,9.2310
4.102744,8.9535
4.103952,8.8934
4.105102,8.7086
4.109737,8.5283
4.111702,8.3731
4.120675,8.2197
4.126000,7.9237
4.128899,7.7904
4.130585,7.8849
4.132878,7.9860
4.136901,7.9235
4.137999,7.9576
4.141062,8.0023
4.145870,8.0433
4.147650,8.0643
4.149666,8.0839
4.152867,8.0950
4.159018,8.1167
4.162260,8.0998
4.165311,8.0421
4.168314,7.9725
4.171814,7.8853
4.173823,7.7754
4.178880,7.6599
4.181220,7.5453
4.183486,7.4012
4.186660,7.2364
4.188702,7.0855
4.193893,6.9111
4.195971,6.7424
4.198072,6.5797
4.200673,6.4155
4.203826,6.2523
4.207162,6.0954
4.210803,5.9703
4.212846,5.8573
4.228741,5.6852
4.230320,5.7420
4.232345,5.7390
4.234577,5.8268
4.236947,5.9609
4.240274,6.0869
4.243250,6.2016
4.246481,6.3225
4.250057,6.4176
4.252221,6.5146
4.255817,6.6120
4.258926,6.6733
4.262064,6.7226
4.265214,6.7612
4.268291,6.7903
4.272809,6.8194
4.275081,6.8277
4.279392,6.8450
4.280382,6.8178
4.283536,6.8112
4.285521,6.7761
4.289929,6.7690
4.292529,6.7507
4.295742,6.7293
4.297785,6.7148
4.301029,6.7036
4.304219,6.6916
4.307769,6.6759
4.310130,6.6519
4.313157,6.6581
4.316502,6.6365
4.331524,6.6437
4.332489,6.6149
4.333492,6.6044
4.335528,6.6066
4.339697,6.6282
4.341691,6.6184
4.347284,6.6604
4.348301,6.6424
4.350604,6.6460
4.354752,6.6958
4.357102,6.7002
4.360604,6.6978
4.363248,6.6879
4.365382,6.6479
4.368408,6.6207
4.371558,6.5867
4.375676,6.5555
4.380044,6.5000
4.381784,6.4311
4.384107,6.3600
4.387633,6.2939
4.389620,6.2501
4.394051,6.1895
4.396387,6.1355
4.399323,6.0627
4.402401,6.0082
4.406427,5.9768
4.408570,5.9594
4.413725,5.9924
4.418232,6.0487
4.421661,6.1008
4.427371,6.1625
4.430847,6.2173
4.431869,6.3442
4.432792,6.4396
4.436626,6.5428
4.438607,6.6462
4.442522,6.7616
4.446027,6.8582
4.448459,6.9331
4.450451,7.0040
4.453605,7.0505
4.456855,7.0879
4.460167,7.1029
4.462483,7.0916
4.465830,7.0701
4.469002,7.0442
4.472062,6.9923
4.475432,6.9435
4.478455,6.8813
4.483987,6.8089
4.485292,6.7452
4.487655,6.6766
4.490787,6.6098
4.494186,6.5584
4.496586,6.5212
4.499139,6.5045
4.502795,6.5038
4.506002,6.5338
4.509046,6.5703
4.512385,6.6493
4.514357,6.7386
4.517513,6.8480
4.519542,6.9777
4.523943,7.1233
4.529089,7.1881
4.536226,7.6233
4.537222,7.7880
4.538270,8.0060
4.541607,8.2773
4.544156,8.5630
4.549473,8.8443
4.551603,9.1638
4.555981,9.5069
4.558164,9.6406
4.563281,10.3159
4.564295,10.3848
4.565221,10.4032
4.569378,10.8302
4.571358,11.0511
4.574441,11.2377
4.578549,11.4203
4.580596,11.6063
4.584212,11.7843
4.587272,11.9517
4.589529,12.1233
4.592563,12.2692
4.596820,12.4105
4.600120,12.5401
4.603418,12.7084
4.605713,12.8637
4.609029,13.0328
4.612035,13.2401
4.615347,13.4332
4.617683,13.6870
4.620925,13.9736
4.624173,14.2804
4.626716,14.6188
4.632008,14.9684
4.637291,16.2397
4.641488,16.7592
4.646169,17.2956
4.647220,17.8637
4.651473,18.0740
4.654661,19.0379
4.656806,19.2555
4.659232,19.8376
